title,address,price,duzenle,m2,rooms,furnished
Apartment Boezemkade,3031 BB Rotterdam (Rubroek),"€1,325 per month",80 m²/3 rooms/Upholstered,80 m²,3 rooms,Upholstered
Apartment Goudestein,3085 DB Rotterdam (Zuidwijk),€995 per month,64 m²/3 rooms/Upholstered,64 m²,3 rooms,Upholstered
House Lamsrustlaan 189 A,3054 VG Rotterdam (Hillegersberg Noord),"€5,500 per month",309 m²/10 rooms/Upholstered or furnished,309 m²,10 rooms,Upholstered or furnished
Apartment 's-Gravendijkwal 140 B,3015 CC Rotterdam (Oude Westen),"€1,250 per month",62 m²/2 rooms/Upholstered,62 m²,2 rooms,Upholstered
Apartment Katendrechtse Lagedijk,3083 GR Rotterdam (Oud Charlois),"€1,495 per month",70 m²/3 rooms/Furnished,70 m²,3 rooms,Furnished
Apartment Westplein,3016 BM Rotterdam (Nieuwe Werk),"€1,895 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Gedempte Zalmhaven,3016 DT Rotterdam (Nieuwe Werk),"€2,900 per month",107 m²/4 rooms/Furnished,107 m²,4 rooms,Furnished
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Eendrachtsplein,3012 LA Rotterdam (Cool),"€2,500 per month",90 m²/4 rooms/Furnished,90 m²,4 rooms,Furnished
Apartment Nolensstraat 12 b 01,3039 PT Rotterdam (Blijdorp),"€2,500 per month",106 m²/6 rooms/1932,106 m²,6 rooms,1932
Room Kleiweg,3051 GK Rotterdam (Hillegersberg Zuid),€455 per month,20 m²/1 room/Upholstered,20 m²,1 room,Upholstered
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€3,995 per month",140 m²/4 rooms/Upholstered,140 m²,4 rooms,Upholstered
Apartment Ramlehweg,3061 JW Rotterdam (Kralingen West),"€1,995 per month",116 m²/4 rooms/Upholstered,116 m²,4 rooms,Upholstered
Apartment Groshansstraat,3023 SB Rotterdam (Nieuwe Westen),"€1,650 per month",75 m²/4 rooms/Upholstered,75 m²,4 rooms,Upholstered
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
Apartment Adriaan Kooningsstraat 262,3077 ML Rotterdam (Oud IJsselmonde),"€2,350 per month",120 m²/4 rooms/Upholstered,120 m²,4 rooms,Upholstered
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€1,650 per month",60 m²/2 rooms/2022,60 m²,2 rooms,2022
Apartment Boompjes,3011 XZ Rotterdam (Stadsdriehoek),"€1,750 per month",80 m²/3 rooms/Furnished,80 m²,3 rooms,Furnished
Apartment Ramlehstraat,3061 JT Rotterdam (Kralingen West),"€1,750 per month",79 m²/3 rooms/Furnished,79 m²,3 rooms,Furnished
Apartment Kapelstraat 123,3024 CH Rotterdam (Delfshaven),"€1,495 per month",100 m²/3 rooms/Upholstered,100 m²,3 rooms,Upholstered
House Insulindestraat,3038 JG Rotterdam (Bergpolder),"€2,150 per month",98 m²/3 rooms/Furnished,98 m²,3 rooms,Furnished
Apartment Wijnhaven,3011 WJ Rotterdam (Stadsdriehoek),"€2,100 per month",91 m²/3 rooms/Furnished,91 m²,3 rooms,Furnished
Apartment Rose-Spoorstraat 22,3071 EP Rotterdam (Feijenoord),"€1,595 per month",105 m²/4 rooms/Upholstered,105 m²,4 rooms,Upholstered
Apartment Aelbrechtskade,3023 JJ Rotterdam (Nieuwe Westen),"€1,450 per month",59 m²/3 rooms/1950,59 m²,3 rooms,1950
Apartment Noorderhavenkade,3039 RH Rotterdam (Blijdorp),"€1,295 per month",50 m²/3 rooms/Furnished,50 m²,3 rooms,Furnished
Apartment Vissersdijk 13,3011 GW Rotterdam (Stadsdriehoek),"€1,475 per month",105 m²/3 rooms/Upholstered,105 m²,3 rooms,Upholstered
Apartment Hoogstraat 109 C,3011 PL Rotterdam (Stadsdriehoek),"€1,299 per month",81 m²/3 rooms/Shell,81 m²,3 rooms,Shell
Apartment 1e Middellandstraat 9 a,3014 BA Rotterdam (Oude Westen),"€1,450 per month",116 m²/4 rooms/1902,116 m²,4 rooms,1902
House Ringdijk 74,3052 KS Rotterdam (Schiebroek),"€3,500 per month",213 m²/7 rooms/Upholstered,213 m²,7 rooms,Upholstered
Apartment Witte de Withstraat,3012 BL Rotterdam (Cool),"€1,700 per month",89 m²/3 rooms/Upholstered or furnished,89 m²,3 rooms,Upholstered or furnished
Apartment Sonmansstraat 107 B02,3039 DH Rotterdam (Blijdorp),"€2,250 per month",88 m²/5 rooms/Furnished,88 m²,5 rooms,Furnished
House Dirkslandstraat 16,3086 CK Rotterdam (Pendrecht),"€1,850 per month",127 m²/5 rooms/Upholstered or furnished,127 m²,5 rooms,Upholstered or furnished
Apartment Ungerplein,3033 BS Rotterdam (Provenierswijk),"€1,995 per month",112 m²/4 rooms/Furnished,112 m²,4 rooms,Furnished
House Molenlaan 270,3055 GM Rotterdam (Molenlaankwartier),"€2,950 per month",138 m²/6 rooms/Furnished,138 m²,6 rooms,Furnished
Apartment Stadhoudersweg,3039 EE Rotterdam (Blijdorp),"€1,750 per month",118 m²/4 rooms/Furnished,118 m²,4 rooms,Furnished
Apartment Gerard Scholtenstraat 29 B,3035 SC Rotterdam (Oude Noorden),"€1,795 per month",95 m²/3 rooms/Furnished,95 m²,3 rooms,Furnished
Apartment Baan,3011 CC Rotterdam (Stadsdriehoek),"€1,690 per month",60 m²/2 rooms/Upholstered,60 m²,2 rooms,Upholstered
Apartment Walenburgerplein,3039 AN Rotterdam (Blijdorp),"€1,395 per month",73 m²/2 rooms/Upholstered,73 m²,2 rooms,Upholstered
Apartment Boezemlaan,3034 XD Rotterdam (Nieuw Crooswijk),"€1,875 per month",102 m²/3 rooms/Furnished,102 m²,3 rooms,Furnished
Apartment Stoppelstraat,3081 XM Rotterdam (Tarwewijk),"€1,475 per month",80 m²/3 rooms/Shell,80 m²,3 rooms,Shell
Apartment Crooswijksesingel,3034 CH Rotterdam (Oud Crooswijk),"€2,025 per month",87 m²/3 rooms/Furnished,87 m²,3 rooms,Furnished
Apartment Westplein,3016 BM Rotterdam (Nieuwe Werk),"€1,970 per month",95 m²/2 rooms/Upholstered,95 m²,2 rooms,Upholstered
House Benedenrijweg,3077 CJ Rotterdam (Oud IJsselmonde),"€2,595 per month",180 m²/5 rooms/Furnished,180 m²,5 rooms,Furnished
House Willem van Hillegaersbergstraat,3051 RC Rotterdam (Hillegersberg Zuid),"€2,400 per month",150 m²/5 rooms/Upholstered,150 m²,5 rooms,Upholstered
Apartment Schiekade,3032 AX Rotterdam (Agniesebuurt),"€1,450 per month",90 m²/3 rooms/Upholstered,90 m²,3 rooms,Upholstered
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Oudedijk,3061 AX Rotterdam (Kralingen West),"€2,795 per month",132 m²/5 rooms/Upholstered,132 m²,5 rooms,Upholstered
Apartment Spoorsingel,3033 GE Rotterdam (Provenierswijk),"€3,300 per month",98 m²/3 rooms/Furnished,98 m²,3 rooms,Furnished
Apartment Houtlaan,3016 DA Rotterdam (Nieuwe Werk),"€3,600 per month",130 m²/3 rooms/Upholstered or furnished,130 m²,3 rooms,Upholstered or furnished
Apartment Lloydstraat,3024 EA Rotterdam (Schiemond),"€1,600 per month",79 m²/2 rooms/Furnished,79 m²,2 rooms,Furnished
Apartment Walenburgerweg,3039 AG Rotterdam (Provenierswijk),"€2,095 per month",113 m²/4 rooms/Furnished,113 m²,4 rooms,Furnished
Apartment Amelandsestraat,3083 SP Rotterdam (Carnisse),"€1,150 per month",62 m²/3 rooms/Upholstered,62 m²,3 rooms,Upholstered
Apartment Bergweg 369 A 02,3038 AA Rotterdam (Bergpolder),"€1,030 per month",53 m²/2 rooms/1928,53 m²,2 rooms,1928
Apartment Hoogstraat,3011 PL Rotterdam (Stadsdriehoek),"€1,850 per month",100 m²/3 rooms/Furnished,100 m²,3 rooms,Furnished
Apartment 's-Gravendijkwal,3021 EC Rotterdam (Middelland),"€2,500 per month",77 m²/2 rooms/Upholstered,77 m²,2 rooms,Upholstered
Apartment Tidemanstraat,3022 SJ Rotterdam (Nieuwe Westen),"€1,495 per month",75 m²/3 rooms/Upholstered,75 m²,3 rooms,Upholstered
Apartment Kleiweg,3051 GK Rotterdam (Hillegersberg Zuid),"€1,695 per month",121 m²/5 rooms/Upholstered,121 m²,5 rooms,Upholstered
Apartment Nieuwe Binnenweg 167 B,3014 GL Rotterdam (Oude Westen),"€1,800 per month",91 m²/3 rooms/Before 1906,91 m²,3 rooms,Before 1906
Apartment 1e Virulystraat 3 A,3022 ZL Rotterdam (Nieuwe Westen),"€1,750 per month",100 m²/4 rooms/84 m²,100 m²,4 rooms,84 m²
Apartment Houtlaan,3016 DA Rotterdam (Nieuwe Werk),"€4,800 per month",161 m²/4 rooms/Furnished,161 m²,4 rooms,Furnished
House Lijsterlaan 34,3055 CH Rotterdam (Molenlaankwartier),"€2,500 per month",110 m²/5 rooms/Upholstered,110 m²,5 rooms,Upholstered
Apartment Schieweg 3 01,3038 AB Rotterdam (Bergpolder),"€1,000 per month",68 m²/2 rooms/1928,68 m²,2 rooms,1928
Apartment Van Bijlandtplaats,3012 GA Rotterdam (Cool),"€1,961 per month",105 m²/4 rooms/Shell,105 m²,4 rooms,Shell
Apartment Grote Visserijstraat,3026 CN Rotterdam (Tussendijken),"€1,190 per month",75 m²/3 rooms/Shell,75 m²,3 rooms,Shell
Apartment Bergweg,3037 EM Rotterdam (Liskwartier),"€2,370 per month",80 m²/3 rooms/Furnished,80 m²,3 rooms,Furnished
Apartment Halvemaanpassage,3011 DL Rotterdam (Stadsdriehoek),"€2,795 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Wijnbrugstraat,3011 XW Rotterdam (Stadsdriehoek),"€1,650 per month",75 m²/3 rooms/Upholstered,75 m²,3 rooms,Upholstered
Apartment Van Swietenlaan,3083 DW Rotterdam (Zuidplein),"€1,095 per month",56 m²/2 rooms/Upholstered,56 m²,2 rooms,Upholstered
House Mahatma Gandhistraat,3066 VA Rotterdam (Prinsenland),"€2,750 per month",224 m²/5 rooms/Upholstered,224 m²,5 rooms,Upholstered
Apartment De Lairesselaan,3062 PJ Rotterdam (Kralingen Oost),"€2,000 per month",98 m²/3 rooms/Furnished,98 m²,3 rooms,Furnished
Apartment Wijnhaven,3011 WJ Rotterdam (Stadsdriehoek),"€3,200 per month",139 m²/5 rooms/Upholstered,139 m²,5 rooms,Upholstered
Apartment Crooswijksesingel,3034 CH Rotterdam (Rubroek),"€1,505 per month",49 m²/2 rooms/Furnished,49 m²,2 rooms,Furnished
Apartment Rozenburglaan 90 A,3062 EH Rotterdam (Kralingen Oost),"€2,100 per month",160 m²/6 rooms/Upholstered,160 m²,6 rooms,Upholstered
Apartment Nieuwe Binnenweg 167 C,3014 GL Rotterdam (Oude Westen),"€1,700 per month",78 m²/3 rooms/Upholstered,78 m²,3 rooms,Upholstered
Apartment Aelbrechtskolk 25 A03,3025 HA Rotterdam (Bospolder),"€1,195 per month",50 m²/2 rooms/Upholstered,50 m²,2 rooms,Upholstered
Studio Mijnsherenlaan,3081 GP Rotterdam (Tarwewijk),€900 per month,18 m²/2 rooms/Upholstered,18 m²,2 rooms,Upholstered
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
Apartment Westerbeekstraat 10 C,3074 DH Rotterdam (Hillesluis),"€1,300 per month",45 m²/3 rooms/1929,45 m²,3 rooms,1929
Apartment Schiedamseweg 96 A,3025 AG Rotterdam (Bospolder),"€1,850 per month",113 m²/4 rooms/Upholstered,113 m²,4 rooms,Upholstered
Room Zuidhoek,3082 PS Rotterdam (Oud Charlois),€450 per month,16 m²/1 room/Upholstered,16 m²,1 room,Upholstered
Apartment Walenburgerweg,3033 AG Rotterdam (Provenierswijk),"€1,360 per month",77 m²/3 rooms/Furnished,77 m²,3 rooms,Furnished
Apartment Spangesekade,3027 GK Rotterdam (Spangen),"€1,495 per month",90 m²/4 rooms/Upholstered,90 m²,4 rooms,Upholstered
Room Oostmaaslaan,3063 AP Rotterdam (Struisenburg),€735 per month,20 m²/1 room/Upholstered or furnished,20 m²,1 room,Upholstered or furnished
Apartment Gedempte Zalmhaven,3016 DT Rotterdam (Nieuwe Werk),"€3,950 per month",219 m²/4 rooms/Upholstered,219 m²,4 rooms,Upholstered
Apartment Kleiweg 135 A,3051 GN Rotterdam (Hillegersberg Zuid),"€2,550 per month",106 m²/6 rooms/Upholstered,106 m²,6 rooms,Upholstered
Apartment Wijnhaven 65 C30,3011 WJ Rotterdam (Stadsdriehoek),"€3,300 per month",136 m²/4 rooms/Upholstered,136 m²,4 rooms,Upholstered
House Boompjes,3011 XB Rotterdam (Stadsdriehoek),"€1,660 per month",83 m²/3 rooms/2021,83 m²,3 rooms,2021
Apartment Bergpolderstraat,3038 KA Rotterdam (Bergpolder),"€1,225 per month",54 m²/2 rooms/Upholstered,54 m²,2 rooms,Upholstered
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Corverstraat 18 A,3025 TC Rotterdam (Bospolder),"€1,650 per month",90 m²/4 rooms/Upholstered,90 m²,4 rooms,Upholstered
Apartment Mathenesserlaan 370 B1,3023 HB Rotterdam (Nieuwe Westen),"€1,595 per month",88 m²/2 rooms/Upholstered,88 m²,2 rooms,Upholstered
Apartment Mathenesserlaan 370 B2,3023 HB Rotterdam (Nieuwe Westen),"€1,595 per month",88 m²/2 rooms/Upholstered,88 m²,2 rooms,Upholstered
House Arie Hoospad,3065 NM Rotterdam ('s-Gravenland),"€2,700 per month",150 m²/5 rooms/Furnished,150 m²,5 rooms,Furnished
Apartment Houtlaan 75,3016 DA Rotterdam (Nieuwe Werk),"€2,850 per month",132 m²/4 rooms/Furnished,132 m²,4 rooms,Furnished
Apartment Kruisplein,3012 CC Rotterdam (Cool),"€2,495 per month",86 m²/3 rooms/Furnished,86 m²,3 rooms,Furnished
Apartment Van Vollenhovenstraat,3016 BE Rotterdam (Nieuwe Werk),"€1,395 per month",84 m²/2 rooms/Upholstered,84 m²,2 rooms,Upholstered
Apartment Puck van Heelstraat 144,3077 MG Rotterdam (Oud IJsselmonde),"€2,750 per month",145 m²/4 rooms/Furnished,145 m²,4 rooms,Furnished
Apartment Voermanweg,3067 JW Rotterdam (Oosterflank),"€1,495 per month",60 m²/1 room/Furnished,60 m²,1 room,Furnished
Apartment Roo-Valkstraat,3032 RD Rotterdam (Agniesebuurt),"€1,750 per month",75 m²/2 rooms/Furnished,75 m²,2 rooms,Furnished
Apartment Mistralstraat,3077 ZB Rotterdam (Oud IJsselmonde),"€1,575 per month",82 m²/3 rooms/Upholstered,82 m²,3 rooms,Upholstered
Room Putsebocht,3073 HK Rotterdam (Bloemhof),€750 per month,20 m²/1 room/Upholstered,20 m²,1 room,Upholstered
Apartment Puck van Heelstraat,3077 MG Rotterdam (Oud IJsselmonde),"€2,749 per month",143 m²/4 rooms/Furnished,143 m²,4 rooms,Furnished
Apartment Jan Porcellisstraat 30 B,3021 TS Rotterdam (Middelland),"€1,550 per month",75 m²/2 rooms/Furnished,75 m²,2 rooms,Furnished
House Rotterdamse Rijweg,3042 AM Rotterdam (Kleinpolder),"€2,250 per month",162 m²/5 rooms/Furnished,162 m²,5 rooms,Furnished
Apartment Müllerkade 433,3024 EP Rotterdam (Schiemond),"€1,895 per month",86 m²/3 rooms/Furnished,86 m²,3 rooms,Furnished
Apartment Stuart Millstraat,3076 RL Rotterdam (Lombardijen),"€1,995 per month",80 m²/4 rooms/Furnished,80 m²,4 rooms,Furnished
Apartment Noordsingel,3035 EM Rotterdam (Oude Noorden),"€1,900 per month",70 m²/2 rooms/Furnished,70 m²,2 rooms,Furnished
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Hoofdweg,3067 GJ Rotterdam (Het Lage Land),€960 per month,48 m²/1 room/Upholstered,48 m²,1 room,Upholstered
Apartment Buizenwerf,3063 AD Rotterdam (Struisenburg),"€1,450 per month",77 m²/2 rooms/1969,77 m²,2 rooms,1969
Apartment Hoofdweg,3067 GJ Rotterdam (Het Lage Land),€955 per month,47 m²/1 room/Upholstered,47 m²,1 room,Upholstered
Apartment Schietbaanlaan 6 a,3021 LJ Rotterdam (Middelland),"€1,995 per month",157 m²/4 rooms/1899,157 m²,4 rooms,1899
Studio Oudedijk,3061 AB Rotterdam (Kralingen West),"€1,450 per month",28 m²/1 room/Furnished,28 m²,1 room,Furnished
Apartment Eric Kropstraat 118,3071 AE Rotterdam (Kop van Zuid - Entrepot),"€2,995 per month",255 m²/3 rooms/Furnished,255 m²,3 rooms,Furnished
Apartment Prins Hendriklaan,3071 LE Rotterdam (Noordereiland),"€2,500 per month",140 m²/5 rooms/Upholstered,140 m²,5 rooms,Upholstered
Apartment Zuidplein,3083 CV Rotterdam (Zuidplein),"€2,675 per month",88 m²/4 rooms/Furnished,88 m²,4 rooms,Furnished
Room Willemskade,3016 DK Rotterdam (Nieuwe Werk),€422 per month,16 m²/1 room/Furnished,16 m²,1 room,Furnished
Apartment Van der Duijn van Maasdamweg,3045 PE Rotterdam (Zestienhoven),"€1,475 per month",79 m²/2 rooms/Furnished,79 m²,2 rooms,Furnished
Apartment Grotemarkt,3011 PA Rotterdam (Stadsdriehoek),"€6,900 per month",321 m²/6 rooms/Furnished,321 m²,6 rooms,Furnished
Apartment Vasaristraat,3066 LH Rotterdam (Prinsenland),"€2,100 per month",88 m²/4 rooms/Upholstered,88 m²,4 rooms,Upholstered
Apartment Pendrechtstraat 5 A,3082 XA Rotterdam (Oud Charlois),"€1,800 per month",95 m²/5 rooms/Upholstered,95 m²,5 rooms,Upholstered
Room Provenierssingel,3033 EK Rotterdam (Provenierswijk),€975 per month,25 m²/1 room/Furnished,25 m²,1 room,Furnished
Apartment Schiebroekselaan,3037 RL Rotterdam (Liskwartier),"€1,995 per month",138 m²/5 rooms/Furnished,138 m²,5 rooms,Furnished
Apartment Boompjes,3011 XB Rotterdam (Stadsdriehoek),"€1,890 per month",96 m²/3 rooms/2021,96 m²,3 rooms,2021
Apartment Statenweg,3039 HK Rotterdam (Blijdorp),"€1,400 per month",116 m²/4 rooms/Shell,116 m²,4 rooms,Shell
Apartment Feijenoordkade,3071 HK Rotterdam (Feijenoord),"€2,100 per month",140 m²/4 rooms/Upholstered,140 m²,4 rooms,Upholstered
House Jericholaan,3061 HD Rotterdam (Kralingen West),"€3,500 per month",216 m²/8 rooms/Upholstered,216 m²,8 rooms,Upholstered
Apartment Schiekade,3033 BE Rotterdam (Agniesebuurt),"€2,500 per month",95 m²/4 rooms/Upholstered,95 m²,4 rooms,Upholstered
Apartment Schietbaanlaan,3021 LP Rotterdam (Middelland),"€2,250 per month",128 m²/3 rooms/Upholstered,128 m²,3 rooms,Upholstered
Apartment Claes de Vrieselaan,3021 JR Rotterdam (Middelland),"€2,500 per month",141 m²/5 rooms/Upholstered,141 m²,5 rooms,Upholstered
Apartment Schiekade,3033 BE Rotterdam (Agniesebuurt),"€2,500 per month",95 m²/4 rooms/Upholstered,95 m²,4 rooms,Upholstered
Apartment Waterloostraat,3062 TS Rotterdam (Kralingen Oost),"€2,250 per month",88 m²/3 rooms/Upholstered,88 m²,3 rooms,Upholstered
Apartment Claes de Vrieselaan,3021 JR Rotterdam (Middelland),"€2,500 per month",157 m²/4 rooms/Upholstered,157 m²,4 rooms,Upholstered
Apartment Provenierssingel,3033 EM Rotterdam (Provenierswijk),"€2,500 per month",127 m²/4 rooms/Upholstered,127 m²,4 rooms,Upholstered
Apartment Oostzeedijk Beneden,3062 VK Rotterdam (Kralingen Oost),"€2,500 per month",118 m²/4 rooms/Upholstered,118 m²,4 rooms,Upholstered
Apartment Waterloostraat,3062 TS Rotterdam (Kralingen Oost),"€2,250 per month",88 m²/3 rooms/Upholstered,88 m²,3 rooms,Upholstered
Apartment Heemraadssingel 103 E,3022 CB Rotterdam (Nieuwe Westen),"€1,995 per month",110 m²/3 rooms/Upholstered,110 m²,3 rooms,Upholstered
Apartment Vijverlaan,3062 HK Rotterdam (Kralingen Oost),"€2,250 per month",97 m²/3 rooms/Furnished,97 m²,3 rooms,Furnished
Apartment Stationssingel,3033 HE Rotterdam (Provenierswijk),"€1,595 per month",99 m²/3 rooms/Upholstered,99 m²,3 rooms,Upholstered
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Adriaen Nimantsstraat,3074 NG Rotterdam (Hillesluis),"€2,125 per month",85 m²/3 rooms/Upholstered,85 m²,3 rooms,Upholstered
Apartment Adriaen Nimantsstraat,3074 NG Rotterdam (Hillesluis),"€1,700 per month",76 m²/3 rooms/Upholstered,76 m²,3 rooms,Upholstered
Apartment Oosterkade,3011 TV Rotterdam (Stadsdriehoek),"€2,695 per month",180 m²/3 rooms/Furnished,180 m²,3 rooms,Furnished
Studio Witte de Withstraat,3012 BT Rotterdam (Cool),"€1,500 per month",50 m²/1 room/Furnished,50 m²,1 room,Furnished
House Van der Kloot Meyburgstraat,3067 EP Rotterdam (Het Lage Land),"€2,500 per month",123 m²/6 rooms/Furnished,123 m²,6 rooms,Furnished
Apartment Bergsingel,3037 GA Rotterdam (Liskwartier),"€2,350 per month",100 m²/4 rooms/Furnished,100 m²,4 rooms,Furnished
Apartment Kappeynestraat 5 A,3039 PE Rotterdam (Blijdorp),"€2,000 per month",80 m²/3 rooms/Furnished,80 m²,3 rooms,Furnished
Apartment Bulgersteyn,3011 AB Rotterdam (Stadsdriehoek),"€1,995 per month",95 m²/3 rooms/Furnished,95 m²,3 rooms,Furnished
Apartment Kruiskade,3012 EG Rotterdam (Cool),"€1,800 per month",135 m²/3 rooms/Upholstered,135 m²,3 rooms,Upholstered
Apartment Joost van Geelstraat,3021 VK Rotterdam (Middelland),"€1,075 per month",70 m²/2 rooms/Upholstered,70 m²,2 rooms,Upholstered
Apartment Vignolahof 14,3066 AV Rotterdam (Prinsenland),"€2,450 per month",96 m²/4 rooms/Furnished,96 m²,4 rooms,Furnished
Apartment Berberisweg 446 B,3053 PL Rotterdam (Schiebroek),"€1,638 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 440 D,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 440 F,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 438 B,3053 PL Rotterdam (Schiebroek),"€1,546 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Berberisweg 444 H,3053 PL Rotterdam (Schiebroek),"€1,769 per month",107 m²/3 rooms/Shell,107 m²,3 rooms,Shell
Apartment Berberisweg 440 G,3053 PL Rotterdam (Schiebroek),"€1,592 per month",89 m²/3 rooms/Shell,89 m²,3 rooms,Shell
Apartment Joost van Geelstraat,3021 VK Rotterdam (Middelland),€995 per month,70 m²/3 rooms/Upholstered,70 m²,3 rooms,Upholstered
Apartment Lisstraat,3037 RA Rotterdam (Liskwartier),€975 per month,50 m²/3 rooms/Upholstered,50 m²,3 rooms,Upholstered
Apartment Hugo Molenaarstraat,3022 NS Rotterdam (Nieuwe Westen),"€1,175 per month",108 m²/5 rooms/Upholstered,108 m²,5 rooms,Upholstered
Apartment Hugo Molenaarstraat,3022 NS Rotterdam (Nieuwe Westen),€975 per month,64 m²/2 rooms/Upholstered,64 m²,2 rooms,Upholstered
Apartment Statensingel,3039 LT Rotterdam (Blijdorp),"€1,995 per month",120 m²/4 rooms/Furnished,120 m²,4 rooms,Furnished
Apartment Schiebroekselaan,3037 RL Rotterdam (Liskwartier),"€1,900 per month",128 m²/3 rooms/Furnished,128 m²,3 rooms,Furnished
Apartment Willemskade,3016 DL Rotterdam (Nieuwe Werk),"€1,950 per month",80 m²/2 rooms/Upholstered,80 m²,2 rooms,Upholstered
Apartment Streksingel 221,3054 HH Rotterdam (Hillegersberg Noord),"€1,250 per month",60 m²/2 rooms/Upholstered,60 m²,2 rooms,Upholstered
Apartment Noordplein,3035 EE Rotterdam (Oude Noorden),"€2,100 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Oppert,3011 HV Rotterdam (Stadsdriehoek),"€2,500 per month",93 m²/3 rooms/Furnished,93 m²,3 rooms,Furnished
Apartment Molenwaterweg,3033 CA Rotterdam (Provenierswijk),"€1,200 per month",65 m²/3 rooms/Upholstered,65 m²,3 rooms,Upholstered
House Donkerslootstraat,3074 WE Rotterdam (Hillesluis),"€1,995 per month",143 m²/5 rooms/Upholstered,143 m²,5 rooms,Upholstered
Apartment Cor Kieboomplein,3077 MK Rotterdam (Oud IJsselmonde),"€2,495 per month",130 m²/4 rooms/Furnished,130 m²,4 rooms,Furnished
Apartment Oostmaaslaan,3063 AN Rotterdam (Struisenburg),"€1,450 per month",65 m²/3 rooms/Furnished,65 m²,3 rooms,Furnished
House Burgemeester Meineszlaan,3022 BC Rotterdam (Nieuwe Westen),"€2,800 per month",82 m²/5 rooms,82 m²,5 rooms,
Apartment Boompjes,3011 XZ Rotterdam (Stadsdriehoek),"€2,000 per month",60 m²/3 rooms/Furnished,60 m²,3 rooms,Furnished
Apartment Gedempte Zalmhaven,3011 BT Rotterdam (Stadsdriehoek),"€2,795 per month",102 m²/3 rooms/Upholstered,102 m²,3 rooms,Upholstered
Apartment Gedempte Zalmhaven,3016 DT Rotterdam (Nieuwe Werk),"€3,195 per month",111 m²/4 rooms/Upholstered,111 m²,4 rooms,Upholstered
Apartment Noordplein,3035 EE Rotterdam (Oude Noorden),"€2,300 per month",90 m²/3 rooms/Furnished,90 m²,3 rooms,Furnished
Apartment Kruiskade,3012 EG Rotterdam (Cool),"€1,350 per month",78 m²/2 rooms/Shell,78 m²,2 rooms,Shell
Apartment Berberisweg 412,3053 PL Rotterdam (Schiebroek),"€1,672 per month",91 m²/3 rooms/Shell,91 m²,3 rooms,Shell
Apartment Berberisweg 406,3053 PL Rotterdam (Schiebroek),"€1,757 per month",106 m²/3 rooms/Shell,106 m²,3 rooms,Shell
Apartment Kruiskade,3012 EG Rotterdam (Cool),"€1,250 per month",78 m²/2 rooms/Shell,78 m²,2 rooms,Shell
Apartment Noordplein,3035 EE Rotterdam (Oude Noorden),"€3,000 per month",140 m²/4 rooms/Furnished,140 m²,4 rooms,Furnished
Apartment Binnenrotte,3011 HB Rotterdam (Stadsdriehoek),"€2,700 per month",120 m²/4 rooms/Furnished,120 m²,4 rooms,Furnished
House Jaffa,3061 JK Rotterdam (Kralingen West),"€3,200 per month",140 m²/5 rooms/Furnished,140 m²,5 rooms,Furnished
